pato_id	pato_id_name
PATO:0002301	decreased quality
PATO:0002300	increased quality
PATO:0000718	lethal (sensu genetics)
PATO:0000719	viable
PATO:0000069	deviation (from_normal)
PATO:0000461	normal
PATO:0000911	decreased rate
PATO:0000462	absent
PATO:0000422	auxotrophic
PATO:0000912	increased rate
0	NONE
PATO:0045000	normal rate
PATO:0000297	arrested
PATO:0000502	delayed
PATO:0000956	sterile
PATO:0000498	increased duration
PATO:0000694	premature
PATO:0000499	decreased duration
GO:0030476	ascospore wall assembly
GO:0170036	import into the mitochondrion
PATO:0002269	accumulation
GO:0016049	cell growth
