anatomy_id	upheno_id
FBbt:00000001	UPHENO:8000000
FBbt:00000003	UPHENO:8000001
FBbt:00000004	UPHENO:8000002
FBbt:00000005	UPHENO:8000003
FBbt:00000006	UPHENO:8000004
FBbt:00000007	UPHENO:8000005
FBbt:00000008	UPHENO:8000006
FBbt:00000009	UPHENO:8000007
FBbt:00000010	UPHENO:8000008
FBbt:00000011	UPHENO:8000009
FBbt:00000012	UPHENO:8000010
FBbt:00000013	UPHENO:8000011
FBbt:00000014	UPHENO:8000012
FBbt:00000015	UPHENO:8000013
FBbt:00000016	UPHENO:8000014
FBbt:00000017	UPHENO:8000015
FBbt:00000018	UPHENO:8000016
FBbt:00000019	UPHENO:8000017
FBbt:00000020	UPHENO:8000018
FBbt:00000021	UPHENO:8000019
FBbt:00000022	UPHENO:8000020
FBbt:00000023	UPHENO:8000021
FBbt:00000024	UPHENO:8000022
FBbt:00000025	UPHENO:8000023
FBbt:00000026	UPHENO:8000024
FBbt:00000027	UPHENO:8000025
FBbt:00000028	UPHENO:8000026
FBbt:00000029	UPHENO:8000027
FBbt:00000030	UPHENO:8000028
FBbt:00000031	UPHENO:8000029
FBbt:00000032	UPHENO:8000030
FBbt:00000033	UPHENO:8000031
FBbt:00000034	UPHENO:8000032
FBbt:00000035	UPHENO:8000033
FBbt:00000039	UPHENO:8000034
FBbt:00000040	UPHENO:8000035
FBbt:00000041	UPHENO:8000036
FBbt:00000042	UPHENO:8000037
FBbt:00000043	UPHENO:8000038
FBbt:00000044	UPHENO:8000039
FBbt:00000045	UPHENO:8000040
FBbt:00000046	UPHENO:8000041
FBbt:00000047	UPHENO:8000042
FBbt:00000051	UPHENO:8000043
FBbt:00000052	UPHENO:8000044
FBbt:00000053	UPHENO:8000045
FBbt:00000055	UPHENO:8000046
FBbt:00000056	UPHENO:8000047
FBbt:00000057	UPHENO:8000048
FBbt:00000059	UPHENO:8000049
FBbt:00000060	UPHENO:8000050
FBbt:00000061	UPHENO:8000051
FBbt:00000062	UPHENO:8000052
FBbt:00000064	UPHENO:8000053
FBbt:00000065	UPHENO:8000054
FBbt:00000069	UPHENO:8000055
FBbt:00000090	UPHENO:8000056
FBbt:00000091	UPHENO:8000057
FBbt:00000092	UPHENO:8000058
FBbt:00000093	UPHENO:8000059
FBbt:00000095	UPHENO:8000060
FBbt:00000096	UPHENO:8000061
FBbt:00000097	UPHENO:8000062
FBbt:00000101	UPHENO:8000063
FBbt:00000102	UPHENO:8000064
FBbt:00000104	UPHENO:8000065
FBbt:00000110	UPHENO:8000066
FBbt:00000111	UPHENO:8000067
FBbt:00000112	UPHENO:8000068
FBbt:00000117	UPHENO:8000069
FBbt:00000118	UPHENO:8000070
FBbt:00000123	UPHENO:8000071
FBbt:00000124	UPHENO:8000072
FBbt:00000125	UPHENO:8000073
FBbt:00000126	UPHENO:8000074
FBbt:00000127	UPHENO:8000075
FBbt:00000128	UPHENO:8000076
FBbt:00000129	UPHENO:8000077
FBbt:00000130	UPHENO:8000078
FBbt:00000136	UPHENO:8000079
FBbt:00000138	UPHENO:8000080
FBbt:00000139	UPHENO:8000081
FBbt:00000140	UPHENO:8000082
FBbt:00000141	UPHENO:8000083
FBbt:00000142	UPHENO:8000084
FBbt:00000143	UPHENO:8000085
FBbt:00000144	UPHENO:8000086
FBbt:00000145	UPHENO:8000087
FBbt:00000146	UPHENO:8000088
FBbt:00000147	UPHENO:8000089
FBbt:00000148	UPHENO:8000090
FBbt:00000149	UPHENO:8000091
FBbt:00000150	UPHENO:8000092
FBbt:00000151	UPHENO:8000093
FBbt:00000152	UPHENO:8000094
FBbt:00000153	UPHENO:8000095
FBbt:00000154	UPHENO:8000096
FBbt:00000155	UPHENO:8000097
FBbt:00000157	UPHENO:8000098
FBbt:00000158	UPHENO:8000099
FBbt:00000159	UPHENO:8000100
FBbt:00000160	UPHENO:8000101
FBbt:00000161	UPHENO:8000102
FBbt:00000162	UPHENO:8000103
FBbt:00000163	UPHENO:8000104
